15-04-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, afternoon , Other, Heavy Traffic, Mechanical Problem, 
18-04-2016T00:00:00 - morning , Heavy Traffic, Mechanical Problem, Other, 
19-04-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Other, Mechanical Problem, 
20-04-2016T00:00:00 - afternoon , Heavy Traffic, Other, Late return from Field Trip, morning , Heavy Traffic, Late return from Field Trip, Won`t Start, 
21-04-2016T00:00:00 - afternoon , Other, Late return from Field Trip, Heavy Traffic, morning , Late return from Field Trip, Heavy Traffic, Won`t Start, 
22-04-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Late return from Field Trip, Flat Tire, Delayed by School, 
02-05-2016T00:00:00 - afternoon , Other, Heavy Traffic, Won`t Start, morning , Heavy Traffic, Flat Tire, Won`t Start, 
03-05-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Weather Conditions, Heavy Traffic, Other, 
04-05-2016T00:00:00 - afternoon , Heavy Traffic, Weather Conditions, Late return from Field Trip, morning , Heavy Traffic, Other, Weather Conditions, 
05-05-2016T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, morning , Weather Conditions, Heavy Traffic, Mechanical Problem, 
06-05-2016T00:00:00 - afternoon , Other, Flat Tire, Heavy Traffic, morning , Heavy Traffic, Mechanical Problem, Other, 
10-05-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Late return from Field Trip, Mechanical Problem, 
11-05-2016T00:00:00 - afternoon , Other, Late return from Field Trip, Heavy Traffic, morning , Mechanical Problem, Heavy Traffic, Other, 
12-05-2016T00:00:00 - afternoon , Heavy Traffic, Late return from Field Trip, Other, morning , Heavy Traffic, Mechanical Problem, Other, 
13-05-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, afternoon , Heavy Traffic, Other, Late return from Field Trip, 
16-05-2016T00:00:00 - morning , Heavy Traffic, Late return from Field Trip, Mechanical Problem, 
17-05-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Other, Late return from Field Trip, 
18-05-2016T00:00:00 - afternoon , Heavy Traffic, Late return from Field Trip, Other, morning , Heavy Traffic, Late return from Field Trip, Flat Tire, 
19-05-2016T00:00:00 - afternoon , Heavy Traffic, Late return from Field Trip, Other, morning , Late return from Field Trip, Heavy Traffic, Won`t Start, 
20-05-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, afternoon , Other, Late return from Field Trip, Heavy Traffic, 
23-05-2016T00:00:00 - morning , Weather Conditions, Late return from Field Trip, Heavy Traffic, 
24-05-2016T00:00:00 - morning , Heavy Traffic, Weather Conditions, Won`t Start, 
25-05-2016T00:00:00 - afternoon , Weather Conditions, Other, Heavy Traffic, morning , Weather Conditions, Mechanical Problem, Heavy Traffic, 
26-05-2016T00:00:00 - afternoon , Weather Conditions, Other, Heavy Traffic, 
31-05-2016T00:00:00 - morning , Weather Conditions, Heavy Traffic, Won`t Start, 
01-06-2016T00:00:00 - afternoon , Heavy Traffic, Weather Conditions, Late return from Field Trip, morning , Heavy Traffic, Weather Conditions, Late return from Field Trip, 
02-06-2016T00:00:00 - morning , Heavy Traffic, Weather Conditions, Late return from Field Trip, 
03-06-2016T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, afternoon , Other, Late return from Field Trip, Heavy Traffic, 
06-06-2016T00:00:00 - morning , Heavy Traffic, Other, Late return from Field Trip, 
07-06-2016T00:00:00 - afternoon , Heavy Traffic, Late return from Field Trip, Other, morning , Late return from Field Trip, Heavy Traffic, Mechanical Problem, 
08-06-2016T00:00:00 - afternoon , Heavy Traffic, Other, Late return from Field Trip, morning , Late return from Field Trip, Heavy Traffic, Other, 
09-06-2016T00:00:00 - morning , Weather Conditions, Flat Tire, Problem Run, 
10-06-2016T00:00:00 - afternoon , Other, Late return from Field Trip, Heavy Traffic, afternoon , Late return from Field Trip, Other, Heavy Traffic, 
13-06-2016T00:00:00 - afternoon , Late return from Field Trip, Heavy Traffic, Mechanical Problem, 
14-06-2016T00:00:00 - morning , Late return from Field Trip, Heavy Traffic, Mechanical Problem, 
15-06-2016T00:00:00 - afternoon , Other, Mechanical Problem, Heavy Traffic, morning , Heavy Traffic, Mechanical Problem, Other, 
16-06-2016T00:00:00 - morning , Heavy Traffic, Mechanical Problem, Won`t Start, 
17-06-2016T00:00:00 - afternoon , Other, Heavy Traffic, Weather Conditions, morning , Heavy Traffic, Other, Mechanical Problem, 
20-06-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Mechanical Problem, Heavy Traffic, Other, 
21-06-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Mechanical Problem, Heavy Traffic, Other, 
22-06-2016T00:00:00 - afternoon , Heavy Traffic, Mechanical Problem, Other, morning , Heavy Traffic, Mechanical Problem, Flat Tire, 
23-06-2016T00:00:00 - afternoon , Heavy Traffic, Other, Mechanical Problem, morning , Heavy Traffic, Other, Won`t Start, 
24-06-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, afternoon , Other, Heavy Traffic, Mechanical Problem, 
27-06-2016T00:00:00 - morning , Won`t Start, Heavy Traffic, Mechanical Problem, 
